giorno,mese,turno,pasto,nome_ricetta,kcal,ingredienti_principali,uova_albume,latticini_conteggiati,proteine_g,fibre_g,modificato_vs_phase_c
4,Settembre,D4,Spuntino,Mini tortilla con lupini e indivia,199.7,indivia · lupini scolati · tortilla di frumento,NO,NO,12.6,4.6,SI
4,Settembre,D4,Cena,Manzo magro con polenta e zucchine,434.5,zucchine · manzo magro · farina di mais per polenta,NO,NO,32.2,3.4,NO
5,Settembre,D5,Colazione,"Kefir, avena, fichi e nocciole",415.8,kefir naturale · fichi freschi · fiocchi d'avena,NO,NO,15.5,9.4,SI
5,Settembre,D5,Spuntino,Kefir e melagrana,148.9,kefir naturale · chicchi di melagrana,NO,NO,6.6,3.2,SI
5,Settembre,D5,Pranzo,Orata con patate e bietole,450.2,patate · bietole · orata,NO,NO,40.8,7.7,NO
5,Settembre,D5,Spuntino,Melagrana e nocciole,145.8,chicchi di melagrana · nocciole,NO,NO,3.2,5.0,SI
5,Settembre,D5,Cena,Pasta e borlotti con funghi,425.9,funghi · borlotti cotti e sgocciolati · pasta secca,NO,NO,20.0,8.2,SI
6,Settembre,D1,Colazione,Yogurt con avena e pera,311.6,yogurt bianco naturale · pera · fiocchi d'avena,NO,NO,13.2,7.4,NO
6,Settembre,D1,Spuntino,Crackers con sardine,190.0,sardine · crackers classici,NO,NO,14.3,0.6,SI
6,Settembre,D1,Pranzo,Riso jasmine con polpo e barbabietola,497.2,polpo · barbabietola · riso jasmine secco,NO,NO,32.8,4.8,SI
6,Settembre,D1,Spuntino,Yogurt con melagrana e semi di zucca,225.1,yogurt bianco naturale · chicchi di melagrana · semi di zucca,NO,NO,10.5,4.2,SI
6,Settembre,D1,Cena,Salmone nordico con patate e zucca,428.9,zucca · salmone · patate,NO,NO,29.4,3.3,NO
7,Settembre,D2,Colazione,"Latte, corn flakes e frutta",347.2,latte parzialmente scremato · mela · fiocchi di mais semplici,NO,NO,12.4,4.9,NO
7,Settembre,D2,Pranzo,Grano saraceno con manzo e funghi,426.8,funghi · manzo magro · grano saraceno secco,NO,NO,32.2,7.5,NO
7,Settembre,D2,Pasto preturno,Manzo magro con pane bianco e zucchine,396.1,zucchine · manzo magro · pane bianco comune,NO,NO,33.7,3.4,NO
7,Settembre,D2,Spuntino notturno,"Mais, cannellini e crackers",179.4,mais dolce sgocciolato · cannellini cotti e sgocciolati · crackers classici,NO,NO,8.5,6.0,SI
7,Settembre,D2,Spuntino notturno,Crackers integrali con hummus e carote,282.8,carote · hummus semplice senza spezie piccanti · crackers integrali,NO,NO,8.7,8.2,NO
7,Settembre,D2,Mini-pasto pre-sonno,Patata dolce e kefir,158.2,patata dolce · kefir naturale,NO,NO,5.4,3.6,SI
8,Settembre,D3,Brunch,Pasta e lenticchie con carote,427.5,carote · lenticchie cotte e sgocciolate · pasta secca,NO,NO,16.0,11.3,NO
8,Settembre,D3,Spuntino,Gallette di riso con burro di arachidi e banana,281.4,banana · gallette di riso · burro di arachidi 100%,NO,NO,7.3,4.2,NO
8,Settembre,D3,Cena,"Brunch con farro, coniglio e barbabietola",696.9,coniglio disossato · barbabietola · farro secco,NO,NO,48.9,11.2,SI
9,Settembre,D4,Colazione,"Latte, semolino, prugne e semi di zucca",394.9,latte parzialmente scremato · prugne fresche · semolino di frumento,NO,NO,16.7,4.4,SI
9,Settembre,D4,Spuntino,Patata dolce con yogurt bianco,207.8,patata dolce · yogurt bianco naturale,NO,NO,7.4,4.5,SI
9,Settembre,D4,Pranzo,"Pranzo leggero con pollo, patate e fagiolini",422.1,fagiolini · patate · petto di pollo,SI,NO,42.0,9.8,SI
9,Settembre,D4,Spuntino,Frutta in porzione piccola,74.0,fichi freschi,NO,NO,0.8,2.9,SI
9,Settembre,D4,Cena,Kofte di tacchino delicati con riso e pomodori,450.7,pomodori · petto di tacchino · riso basmati secco,NO,NO,39.7,3.1,NO
10,Settembre,D5,Colazione,"Pane di segale, burro di arachidi e pera",305.3,pera · pane di segale · burro di arachidi 100%,NO,NO,9.6,7.4,NO
10,Settembre,D5,Spuntino,Crackers con crema semplice di cannellini,183.7,cannellini cotti e sgocciolati · crackers classici,NO,NO,7.5,4.6,SI
10,Settembre,D5,Pranzo,Riso basmati con borlotti e spinaci,429.4,spinaci · borlotti cotti e sgocciolati · riso basmati secco,NO,NO,16.8,9.1,NO
10,Settembre,D5,Spuntino,Kefir piccolo,66.0,kefir naturale,NO,NO,4.2,0.0,NO
10,Settembre,D5,Cena,"Brunch con orzo, cozze e barbabietola",655.9,"cozze, parte edibile · barbabietola · orzo perlato secco",NO,NO,42.1,11.0,SI
11,Settembre,D1,Colazione,Budino di riso casalingo e frutta,326.4,latte parzialmente scremato · mela · riso basmati secco,NO,NO,10.9,3.7,NO
11,Settembre,D1,Spuntino,Pane bianco e uovo sodo,151.0,uovo · pane bianco comune,SI,NO,8.8,0.8,SI
11,Settembre,D1,Pranzo,Farro con coniglio e barbabietola,524.2,barbabietola · coniglio disossato · farro secco,NO,NO,39.5,8.8,SI
11,Settembre,D1,Spuntino,Patata dolce e semi di zucca,156.5,patata dolce · semi di zucca,NO,NO,4.5,4.4,SI
11,Settembre,D1,Cena,Pasta con calamari e pomodoro,439.0,pomodori · calamaro · pasta secca,NO,NO,27.8,4.0,NO
12,Settembre,D2,Colazione,"Uova strapazzate, pane bianco e frutta",354.0,mela · uovo · spinaci ben cotti,SI,NO,19.8,8.1,SI
12,Settembre,D2,Pranzo,Pollo con polenta e zucca,413.7,zucca · petto di pollo · farina di mais per polenta,NO,NO,35.3,2.5,NO
12,Settembre,D2,Pasto preturno,Pasta e piselli con spinaci,416.7,spinaci · piselli cotti · pasta secca,NO,NO,18.4,11.6,NO
12,Settembre,D2,Spuntino notturno,Kefir e corn flakes in porzione piccola,155.2,kefir naturale · fiocchi di mais semplici,NO,NO,6.0,0.8,SI
12,Settembre,D2,Spuntino notturno,Crackers con lupini,172.9,lupini scolati · crackers classici,NO,NO,10.8,2.3,SI
12,Settembre,D2,Mini-pasto pre-sonno,Banana e latte,171.8,latte parzialmente scremato · banana,NO,NO,7.0,2.6,NO
13,Settembre,D3,Brunch,"Brunch completo con farro, tonno e fagiolini",692.0,tonno al naturale sgocciolato · fagiolini · farro secco,NO,NO,56.9,11.4,NO
13,Settembre,D3,Spuntino,Yogurt con frutti di bosco e nocciole,238.7,"yogurt bianco naturale · frutti di bosco, anche surgelati · nocciole",NO,NO,9.2,6.5,SI
13,Settembre,D3,Cena,Riso con cozze e barbabietola,530.4,"cozze, parte edibile · barbabietola · riso basmati secco",NO,NO,29.6,5.2,SI
14,Settembre,D4,Colazione,"Pane di segale, tonno e patata dolce",395.6,patata dolce · tonno al naturale sgocciolato · pane di segale,NO,NO,27.8,7.1,SI
14,Settembre,D4,Spuntino,Crackers con borlotti,183.7,borlotti cotti e sgocciolati · crackers classici,NO,NO,7.7,4.3,SI
14,Settembre,D4,Pranzo,Orata con patate e bietole,450.2,patate · bietole · orata,NO,NO,40.8,7.7,NO
14,Settembre,D4,Spuntino,Melagrana e nocciole,145.8,chicchi di melagrana · nocciole,NO,NO,3.2,5.0,SI
14,Settembre,D4,Cena,Filetto di maiale con polenta e zucchine,440.4,zucchine · filetto di maiale · farina di mais per polenta,NO,NO,34.4,3.4,NO
15,Settembre,D5,Colazione,"Kefir, avena, uva e semi di zucca",393.3,kefir naturale · uva · fiocchi d'avena,NO,NO,16.9,5.9,SI
15,Settembre,D5,Spuntino,Mini tortilla con lupini e indivia,199.7,indivia · lupini scolati · tortilla di frumento,NO,NO,12.6,4.6,SI
15,Settembre,D5,Pranzo,Couscous marocchino delicato con tacchino e fagiolini,433.0,fagiolini · petto di tacchino · carote,NO,NO,36.6,9.6,NO
15,Settembre,D5,Spuntino,"Mais, cannellini e crackers",179.4,mais dolce sgocciolato · cannellini cotti e sgocciolati · crackers classici,NO,NO,8.5,6.0,SI
15,Settembre,D5,Cena,Pasta e borlotti con funghi,425.9,funghi · borlotti cotti e sgocciolati · pasta secca,NO,NO,20.0,8.2,SI
16,Settembre,D1,Colazione,"Yogurt, corn flakes, melagrana e semi di zucca",378.9,yogurt bianco naturale · chicchi di melagrana · fiocchi di mais semplici,NO,NO,13.7,5.0,SI
16,Settembre,D1,Spuntino,Patata dolce e kefir,158.2,patata dolce · kefir naturale,NO,NO,5.4,3.6,SI
16,Settembre,D1,Pranzo,Riso teriyaki delicato con tacchino e melanzane,417.3,melanzane · petto di tacchino · bietole,NO,NO,35.5,6.7,NO
16,Settembre,D1,Spuntino,Latte e frutta,156.9,latte parzialmente scremato · pera,NO,NO,6.5,4.0,NO
16,Settembre,D1,Cena,Patata dolce con lupini e bietole,428.3,patata dolce · bietole · lupini scolati,NO,NO,16.9,10.7,SI
17,Settembre,D2,Colazione,Yogurt con avena e pera,311.6,yogurt bianco naturale · pera · fiocchi d'avena,NO,NO,13.2,7.4,NO
17,Settembre,D2,Pranzo,Riso integrale con lenticchie e zucca,412.3,zucca · lenticchie cotte e sgocciolate · riso integrale secco,NO,NO,13.3,9.3,NO
17,Settembre,D2,Pasto preturno,Grano saraceno con manzo e funghi,426.8,funghi · manzo magro · grano saraceno secco,NO,NO,32.2,7.5,NO
17,Settembre,D2,Spuntino notturno,Kefir e melagrana,148.9,kefir naturale · chicchi di melagrana,NO,NO,6.6,3.2,SI
17,Settembre,D2,Spuntino notturno,Mini panino con bresaola e carote,204.9,carote · pane bianco comune · bresaola,NO,NO,15.7,3.5,SI
17,Settembre,D2,Mini-pasto pre-sonno,Crackers con sardine,190.0,sardine · crackers classici,NO,NO,14.3,0.6,SI
18,Settembre,D3,Brunch,"Brunch completo con couscous, salmone e zucca",721.8,zucca · salmone · couscous di semola secco,NO,NO,38.3,3.5,NO
18,Settembre,D3,Spuntino,Yogurt con melagrana e semi di zucca,225.1,yogurt bianco naturale · chicchi di melagrana · semi di zucca,NO,NO,10.5,4.2,SI
18,Settembre,D3,Cena,Pasta al ragù leggero di manzo,501.1,passata di pomodoro · manzo magro · carote,NO,NO,31.1,6.1,NO
19,Settembre,D4,Colazione,"Latte, semolino, prugne e semi di zucca",394.9,latte parzialmente scremato · prugne fresche · semolino di frumento,NO,NO,16.7,4.4,SI
19,Settembre,D4,Spuntino,Crackers con tonno al naturale,177.1,tonno al naturale sgocciolato · crackers classici,NO,NO,17.9,0.8,SI
19,Settembre,D4,Pranzo,Tacchino con pane bianco e zucca,451.7,zucca · petto di tacchino · pane integrale,NO,NO,40.2,6.1,NO
19,Settembre,D4,Spuntino,Frutta in porzione piccola,74.0,fichi freschi,NO,NO,0.8,2.9,SI
19,Settembre,D4,Cena,Pasta e lenticchie con passata e spinaci,436.3,passata di pomodoro · spinaci · lenticchie cotte e sgocciolate,NO,NO,19.3,11.7,NO
20,Settembre,D5,Colazione,"Yogurt bianco, corn flakes e frutta",250.8,yogurt bianco naturale · uva · fiocchi di mais semplici,NO,NO,7.6,1.8,NO
20,Settembre,D5,Spuntino,Mini tortilla con tonno e indivia,203.8,tonno al naturale sgocciolato · indivia · tortilla di frumento,NO,NO,19.6,3.1,SI
20,Settembre,D5,Pranzo,Sogliola con riso e lattuga,407.4,sogliola · lattuga · riso basmati secco,NO,NO,38.9,3.1,NO
20,Settembre,D5,Spuntino,Kefir piccolo,66.0,kefir naturale,NO,NO,4.2,0.0,NO
20,Settembre,D5,Cena,"Brunch completo con patate, pollo e spinaci",666.2,patate · petto di pollo · spinaci,NO,NO,52.9,11.4,NO
21,Settembre,D1,Colazione,"Uova strapazzate, pane bianco e frutta",368.0,pera · uovo · spinaci ben cotti,SI,NO,19.7,7.1,SI
21,Settembre,D1,Spuntino,Banana e latte,171.8,latte parzialmente scremato · banana,NO,NO,7.0,2.6,NO
21,Settembre,D1,Pranzo,Salmone con polenta e funghi,420.9,funghi · salmone · farina di mais per polenta,NO,NO,30.4,3.0,NO
21,Settembre,D1,Spuntino,Pane di segale con tonno e indivia,170.4,tonno al naturale sgocciolato · indivia · pane di segale,NO,NO,19.4,3.9,SI
21,Settembre,D1,Cena,Filetto di maiale con patate e spinaci,458.6,patate · spinaci · filetto di maiale,NO,NO,38.2,8.8,NO
22,Settembre,D2,Colazione,Colazione leggera con latte e fette classiche,274.7,latte parzialmente scremato · prugne fresche · fette biscottate classiche,NO,NO,10.0,2.5,NO
22,Settembre,D2,Pranzo,Pasta integrale con lupini e zucca,399.4,zucca · lupini scolati · pasta integrale secca,NO,NO,20.4,7.6,NO
22,Settembre,D2,Pasto preturno,Branzino con polenta e zucchine,410.5,zucchine · branzino · farina di mais per polenta,NO,NO,36.4,3.4,NO
22,Settembre,D2,Spuntino notturno,Crackers con crema semplice di cannellini,183.7,cannellini cotti e sgocciolati · crackers classici,NO,NO,7.5,4.6,SI
22,Settembre,D2,Spuntino notturno,Crackers con borlotti,183.7,borlotti cotti e sgocciolati · crackers classici,NO,NO,7.7,4.3,SI
22,Settembre,D2,Mini-pasto pre-sonno,"Tortilla con cannellini, mais e indivia",335.9,indivia · cannellini cotti e sgocciolati · tortilla di frumento,NO,NO,12.8,9.8,SI
23,Settembre,D3,Brunch,"Brunch completo con couscous, pollo e carote",692.6,petto di pollo · carote · couscous di semola secco,NO,NO,47.9,7.2,NO
23,Settembre,D3,Spuntino,Kefir con banana e pistacchi,243.5,kefir naturale · banana · pistacchi non salati,NO,NO,9.5,3.6,SI
23,Settembre,D3,Cena,Kofte di tacchino delicati con riso e carote,485.2,carote · petto di tacchino · riso basmati secco,NO,NO,39.7,5.5,NO
24,Settembre,D4,Colazione,Kefir con melagrana e avena,298.7,kefir naturale · chicchi di melagrana · fiocchi d'avena,NO,NO,13.1,7.2,SI
24,Settembre,D4,Spuntino,Latte piccolo,69.0,latte parzialmente scremato,NO,NO,5.0,0.0,SI
24,Settembre,D4,Pranzo,Sgombro con pane bianco e pomodori,533.2,pomodori · sgombro · albume,SI,NO,37.2,4.0,NO
24,Settembre,D4,Spuntino,Mini tortilla con lupini e indivia,199.7,indivia · lupini scolati · tortilla di frumento,NO,NO,12.6,4.6,SI
24,Settembre,D4,Cena,Riso e cannellini con barbabietola,459.4,barbabietola · cannellini cotti e sgocciolati · riso basmati secco,NO,NO,14.6,10.3,SI
25,Settembre,D5,Colazione,Yogurt con avena e pera,311.6,yogurt bianco naturale · pera · fiocchi d'avena,NO,NO,13.2,7.4,NO
25,Settembre,D5,Spuntino,Patata dolce e semi di zucca,156.5,patata dolce · semi di zucca,NO,NO,4.5,4.4,SI
25,Settembre,D5,Pranzo,Pasta con branzino e zucchine,424.3,zucchine · branzino · pasta secca,NO,NO,28.7,3.7,NO
25,Settembre,D5,Spuntino,Pane bianco e uovo sodo,151.0,uovo · pane bianco comune,SI,NO,8.8,0.8,SI
25,Settembre,D5,Cena,Farro con coniglio e barbabietola,524.2,barbabietola · coniglio disossato · farro secco,NO,NO,39.5,8.8,SI
26,Settembre,D1,Colazione,"Pane di segale, tonno e patata dolce",395.6,patata dolce · tonno al naturale sgocciolato · pane di segale,NO,NO,27.8,7.1,SI
26,Settembre,D1,Spuntino,Crackers con lupini,172.9,lupini scolati · crackers classici,NO,NO,10.8,2.3,SI
26,Settembre,D1,Pranzo,Coniglio con patate e pomodori,440.5,patate · pomodori · coniglio disossato,NO,NO,33.3,7.0,SI
26,Settembre,D1,Spuntino,"Mais, cannellini e crackers",179.4,mais dolce sgocciolato · cannellini cotti e sgocciolati · crackers classici,NO,NO,8.5,6.0,SI
26,Settembre,D1,Cena,Pasta e borlotti con funghi,425.9,funghi · borlotti cotti e sgocciolati · pasta secca,NO,NO,20.0,8.2,NO
27,Settembre,D2,Colazione,Semolino al latte con frutta,341.5,latte parzialmente scremato · pera · semolino di frumento,NO,NO,12.7,6.0,NO
27,Settembre,D2,Pranzo,Trota con riso e zucchine,451.2,zucchine · trota · riso basmati secco,NO,NO,34.9,2.5,NO
27,Settembre,D2,Pasto preturno,Grano saraceno con manzo e funghi,426.8,funghi · manzo magro · grano saraceno secco,NO,NO,32.2,7.5,NO
27,Settembre,D2,Spuntino notturno,Yogurt con melagrana e semi di zucca,225.1,yogurt bianco naturale · chicchi di melagrana · semi di zucca,NO,NO,10.5,4.2,SI
27,Settembre,D2,Spuntino notturno,Patata dolce e kefir,158.2,patata dolce · kefir naturale,NO,NO,5.4,3.6,SI
27,Settembre,D2,Mini-pasto pre-sonno,Frutta e mandorle,120.4,pera · mandorle,NO,NO,2.2,5.0,NO
28,Settembre,D3,Brunch,"Brunch completo con farro, tonno e spinaci",642.3,spinaci · tonno al naturale sgocciolato · farro secco,NO,NO,56.5,10.7,NO
28,Settembre,D3,Spuntino,Mini panino con tacchino e spinaci,177.3,spinaci · pane bianco comune · fesa di tacchino a fette,NO,NO,13.9,2.8,SI
28,Settembre,D3,Cena,"Brunch completo con orzo, tacchino e zucca",671.9,zucca · petto di tacchino · orzo perlato secco,NO,NO,49.8,9.9,NO
29,Settembre,D4,Colazione,"Latte, corn flakes e frutta",347.2,latte parzialmente scremato · mela · fiocchi di mais semplici,NO,NO,12.4,4.9,NO
29,Settembre,D4,Spuntino,Crackers con sardine,190.0,sardine · crackers classici,NO,NO,14.3,0.6,SI
29,Settembre,D4,Pranzo,Manzo magro con pane bianco e carote,527.7,carote · manzo magro · pane bianco comune,NO,NO,34.8,7.2,NO
29,Settembre,D4,Spuntino,Melagrana e nocciole,145.8,chicchi di melagrana · nocciole,NO,NO,3.2,5.0,SI
29,Settembre,D4,Cena,Pasta e lenticchie con passata e spinaci,436.3,passata di pomodoro · spinaci · lenticchie cotte e sgocciolate,NO,NO,19.3,11.7,NO
30,Settembre,D5,Colazione,"Yogurt bianco, corn flakes e frutta",250.8,yogurt bianco naturale · uva · fiocchi di mais semplici,NO,NO,7.6,1.8,NO
30,Settembre,D5,Spuntino,Kefir e melagrana,148.9,kefir naturale · chicchi di melagrana,NO,NO,6.6,3.2,SI
30,Settembre,D5,Pranzo,Poke tiepido con salmone e carote,425.9,carote · salmone · cetriolo senza buccia e semi,NO,NO,25.6,5.5,NO
30,Settembre,D5,Spuntino,Pane di segale con tonno e indivia,170.4,tonno al naturale sgocciolato · indivia · pane di segale,NO,NO,19.4,3.9,SI
30,Settembre,D5,Cena,"Brunch completo con couscous, tacchino e spinaci",676.6,petto di tacchino · spinaci · couscous di semola secco,NO,NO,54.8,6.3,NO
31,Ottobre,D1,Colazione,"Yogurt bianco, corn flakes e banana",337.4,yogurt bianco naturale · banana · fiocchi di mais semplici,NO,NO,10.6,4.3,NO
31,Ottobre,D1,Spuntino,Kefir e corn flakes in porzione piccola,155.2,kefir naturale · fiocchi di mais semplici,NO,NO,6.0,0.8,SI
31,Ottobre,D1,Pranzo,Riso basmati con lenticchie e broccoli,437.1,broccoli · lenticchie cotte e sgocciolate · riso basmati secco,NO,NO,16.6,11.3,NO
31,Ottobre,D1,Spuntino,Pane di segale con sgombro e radicchio,206.9,radicchio · sgombro · pane di segale,NO,NO,13.3,2.6,SI
31,Ottobre,D1,Cena,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate · cavolo cappuccio · merluzzo,NO,NO,30.6,7.8,SI
32,Ottobre,D2,Colazione,Yogurt con cachi e fiocchi di avena,314.8,yogurt bianco naturale · cachi · fiocchi d'avena,NO,NO,12.7,7.9,SI
32,Ottobre,D2,Pranzo,Pasta con gamberi e zucchine,435.2,zucchine · gamberi · pasta secca,NO,NO,34.7,3.7,NO
32,Ottobre,D2,Pasto preturno,Gnocchi con lupini e cavoletti,440.3,gnocchi di patate · cavoletti di Bruxelles · lupini scolati,NO,NO,18.3,8.9,SI
32,Ottobre,D2,Spuntino notturno,Crackers con crema semplice di cannellini,183.7,cannellini cotti e sgocciolati · crackers classici,NO,NO,7.5,4.6,SI
32,Ottobre,D2,Spuntino notturno,Latte e cachi,139.0,latte parzialmente scremato · cachi,NO,NO,5.5,3.6,SI
32,Ottobre,D2,Mini-pasto pre-sonno,Mini tortilla con cannellini e radicchio,207.7,radicchio · cannellini cotti e sgocciolati · tortilla di frumento,NO,NO,8.8,5.3,SI
33,Ottobre,D3,Brunch,"Brunch completo con polenta, manzo e broccoli",724.4,manzo magro · broccoli · farina di mais per polenta,NO,NO,45.2,7.4,NO
33,Ottobre,D3,Spuntino,Kefir con banana e pistacchi,243.5,kefir naturale · banana · pistacchi non salati,NO,NO,9.5,3.6,SI
33,Ottobre,D3,Cena,Pasta e ceci con broccoli,473.5,broccoli · ceci cotti e sgocciolati · pasta secca,NO,NO,19.4,11.9,NO
34,Ottobre,D4,Colazione,French toast delicato con frutta,385.1,chicchi di melagrana · latte parzialmente scremato · pane bianco comune,SI,NO,16.1,6.4,NO
34,Ottobre,D4,Spuntino,Mini tortilla con lupini e indivia,199.7,indivia · lupini scolati · tortilla di frumento,NO,NO,12.6,4.6,SI
34,Ottobre,D4,Pranzo,Curry bianco molto delicato di pollo e zucca,433.1,zucca · petto di pollo · riso basmati secco,NO,NO,33.0,1.7,NO
34,Ottobre,D4,Spuntino,Pane bianco e uovo sodo,151.0,uovo · pane bianco comune,SI,NO,8.8,0.8,NO
34,Ottobre,D4,Cena,Orzo con cozze e cavoletti,507.0,"cozze, parte edibile · cavoletti di Bruxelles · orzo perlato secco",NO,NO,34.2,11.2,SI
35,Ottobre,D5,Colazione,Kefir con castagne e melagrana,291.6,kefir naturale · castagne arrostite · chicchi di melagrana,NO,NO,9.2,6.3,SI
35,Ottobre,D5,Spuntino,Crackers con borlotti,183.7,borlotti cotti e sgocciolati · crackers classici,NO,NO,7.7,4.3,SI
35,Ottobre,D5,Pranzo,Polenta con sgombro e indivia,506.7,indivia · sgombro · farina di mais per polenta,NO,NO,25.6,6.4,SI
35,Ottobre,D5,Spuntino,Pane di segale con lupini e radicchio,175.8,lupini scolati · radicchio · pane di segale,NO,NO,13.2,4.2,SI
35,Ottobre,D5,Cena,Filetto di maiale con patate e spinaci,458.6,patate · spinaci · filetto di maiale,NO,NO,38.2,8.8,NO
36,Ottobre,D1,Colazione,"Uova strapazzate, pane bianco e frutta",354.0,mela · uovo · spinaci ben cotti,SI,NO,19.8,8.1,NO
36,Ottobre,D1,Spuntino,Patata dolce e semi di zucca,156.5,patata dolce · semi di zucca,NO,NO,4.5,4.4,SI
36,Ottobre,D1,Pranzo,Pasta e ceci con finocchi,451.5,finocchi · ceci cotti e sgocciolati · pasta secca,NO,NO,16.2,11.4,NO
36,Ottobre,D1,Spuntino,Crackers con lupini,172.9,lupini scolati · crackers classici,NO,NO,10.8,2.3,SI
36,Ottobre,D1,Cena,Orzo con maiale e cavoletti,538.1,cavoletti di Bruxelles · filetto di maiale · orzo perlato secco,NO,NO,41.2,11.2,SI
37,Ottobre,D2,Colazione,"Latte, corn flakes e frutta",347.2,latte parzialmente scremato · mela · fiocchi di mais semplici,NO,NO,12.4,4.9,NO
37,Ottobre,D2,Pranzo,Sogliola con riso e lattuga,407.4,sogliola · lattuga · riso basmati secco,NO,NO,38.9,3.1,NO
37,Ottobre,D2,Pasto preturno,Manzo magro con pane bianco e zucchine,396.1,zucchine · manzo magro · pane bianco comune,NO,NO,33.7,3.4,NO
37,Ottobre,D2,Spuntino notturno,"Mais, cannellini e crackers",179.4,mais dolce sgocciolato · cannellini cotti e sgocciolati · crackers classici,NO,NO,8.5,6.0,SI
37,Ottobre,D2,Spuntino notturno,Castagne in porzione piccola,140.0,castagne arrostite,NO,NO,2.1,3.5,SI
37,Ottobre,D2,Mini-pasto pre-sonno,Pane di segale con sardine e radicchio,286.1,sardine · radicchio · pane di segale,NO,NO,24.4,3.0,SI
38,Ottobre,D3,Brunch,Riso basmati con ceci e carote,490.1,carote · ceci cotti e sgocciolati · riso basmati secco,NO,NO,13.8,11.5,NO
38,Ottobre,D3,Spuntino,Patata dolce con yogurt bianco,207.8,patata dolce · yogurt bianco naturale,NO,NO,7.4,4.5,SI
38,Ottobre,D3,Cena,"Brunch con gnocchi, maiale e cavoletti",727.4,gnocchi di patate · filetto di maiale · cavoletti di Bruxelles,NO,NO,46.5,10.5,SI
39,Ottobre,D4,Colazione,Budino di riso casalingo e frutta,332.9,latte parzialmente scremato · pera · riso basmati secco,NO,NO,11.0,4.6,NO
39,Ottobre,D4,Spuntino,Crackers con tonno al naturale,177.1,tonno al naturale sgocciolato · crackers classici,NO,NO,17.9,0.8,SI
39,Ottobre,D4,Pranzo,Pasta con sgombro e cavolo cappuccio,475.1,cavolo cappuccio · sgombro · pasta secca,NO,NO,25.3,5.7,NO
39,Ottobre,D4,Spuntino,Yogurt e castagne,178.8,yogurt bianco naturale · castagne arrostite,NO,NO,6.5,2.5,SI
39,Ottobre,D4,Cena,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate · cavolo cappuccio · merluzzo,NO,NO,30.6,7.8,SI
40,Ottobre,D5,Colazione,"Yogurt, banana e mandorle",282.9,yogurt bianco naturale · banana · mandorle,NO,NO,11.1,4.5,NO
40,Ottobre,D5,Spuntino,Mais e tonno in coppetta,138.4,mais dolce sgocciolato · tonno al naturale sgocciolato,NO,NO,18.3,2.2,SI
40,Ottobre,D5,Pranzo,Pasta e fave con cavolo nero,443.6,cavolo nero · fave cotte · pasta secca,NO,NO,19.7,10.9,SI
