recipe_version_id,recipe_id,recipe_title,used_occurrences,egg_equivalent_units,dairy_occurrence,dairy_codes,primary_protein,primary_protein_g,primary_protein_share,legume_quantity_g,legume_protein_g,legume_share_of_recognized_protein,plant_protein_main,primary_carb,pasta_rice_primary,ingredient_codes
base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:aa410de3e2574037,base:recipe:bowl-libanese-delicata-con-pollo-e-carote,Bowl libanese delicata con pollo e carote,0,1.6,no,[],poultry,26.45,0.7154,0.0,0.0,0.0,no,bread,no,"[""albume"", ""carota"", ""olio"", ""pane_bianco"", ""pollo"", ""riso_basmati"", ""yogurt_bianco""]"
base:recipe-version:bowl-libanese-delicata-con-pollo-e-zucchine:a15e5abe7245291d,base:recipe:bowl-libanese-delicata-con-pollo-e-zucchine,Bowl libanese delicata con pollo e zucchine,0,0.0,no,[],poultry,26.45,0.9363,0.0,0.0,0.0,no,rice,yes,"[""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco"", ""zucchina""]"
base:recipe-version:branzino-con-polenta-e-finocchi:d61134f849a13e58,base:recipe:branzino-con-polenta-e-finocchi,Branzino con polenta e finocchi,2,0.0,no,[],fish,30.6,1.0,0.0,0.0,0.0,no,other_grains,no,"[""branzino"", ""finocchio"", ""olio"", ""polenta""]"
base:recipe-version:branzino-con-polenta-e-zucca:774ae20421803368,base:recipe:branzino-con-polenta-e-zucca,Branzino con polenta e zucca,1,0.0,no,[],fish,30.6,1.0,0.0,0.0,0.0,no,other_grains,no,"[""branzino"", ""olio"", ""polenta"", ""zucca""]"
base:recipe-version:branzino-con-polenta-e-zucchine:05d43f46b0cd324d,base:recipe:branzino-con-polenta-e-zucchine,Branzino con polenta e zucchine,2,0.0,no,[],fish,30.6,1.0,0.0,0.0,0.0,no,other_grains,no,"[""branzino"", ""olio"", ""polenta"", ""zucchina""]"
base:recipe-version:brunch-bowl-coreana-delicata-con-manzo-riso-e-carote:423d649b72c9b88e,base:recipe:brunch-bowl-coreana-delicata-con-manzo-riso-e-carote,"Brunch: Bowl coreana delicata con manzo, riso e carote",0,1.6,no,[],red_meat,24.2,0.7233,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""banana"", ""carota"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo"", ""spinaci""]"
base:recipe-version:brunch-bowl-coreana-delicata-con-manzo-riso-e-cavolfiore:63b56b94717dece6,base:recipe:brunch-bowl-coreana-delicata-con-manzo-riso-e-cavolfiore,"Brunch: Bowl coreana delicata con manzo, riso e cavolfiore",0,1.6,no,[],red_meat,24.2,0.7233,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""arancia"", ""carciofo"", ""cavolfiore"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo""]"
base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi:520bc40de1b4a1f2,base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi,"Brunch: Bowl greca delicata con pollo, feta e finocchi",0,1.6,yes,"[""feta""]",poultry,25.3,0.6501,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""feta"", ""finocchio"", ""kiwi"", ""olio"", ""pollo"", ""riso_basmati""]"
base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi:7efcddfacc60ed6d,base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi,"Brunch: Bowl greca delicata con pollo, feta e finocchi",0,1.6,yes,"[""feta""]",poultry,25.3,0.6501,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""feta"", ""finocchio"", ""mela"", ""olio"", ""pollo"", ""riso_basmati""]"
base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-zucca:07916c78b183b2f3,base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-zucca,"Brunch: Bowl greca delicata con pollo, feta e zucca",0,1.6,yes,"[""feta""]",poultry,25.3,0.6501,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""cachi"", ""feta"", ""olio"", ""pollo"", ""riso_basmati"", ""zucca""]"
base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-carote:0d98b20f23d7e14c,base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-carote,Brunch: Bowl libanese delicata con pollo e carote,0,1.6,no,[],poultry,26.45,0.7154,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""carota"", ""mela"", ""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco""]"
base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-cavolfiore:af784d03dc2e7330,base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-cavolfiore,Brunch: Bowl libanese delicata con pollo e cavolfiore,0,1.6,no,[],poultry,26.45,0.7154,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""cavolfiore"", ""mandarino"", ""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco""]"
base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-zucchine:bae3486662495964,base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-zucchine,Brunch: Bowl libanese delicata con pollo e zucchine,0,1.6,no,[],poultry,26.45,0.7154,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""cachi"", ""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco"", ""zucchina""]"
base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:51d145e2523448a2,base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,Brunch: Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""pera"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:c375035a445652fc,base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,Brunch: Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""kiwi"", ""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:f709e3e2d48d318a,base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,Brunch: Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""mela"", ""olio"", ""pane_integrale"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-fagiolini:cdc52c441541b852,base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-fagiolini,Brunch: Couscous marocchino delicato con tacchino e fagiolini,0,0.0,no,[],poultry,26.4,1.0,0.0,0.0,0.0,no,other_grains,no,"[""carota"", ""couscous"", ""fagiolini"", ""olio"", ""tacchino"", ""uva""]"
base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi:eebf147165557e2b,base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi,Brunch: Couscous marocchino delicato con tacchino e finocchi,1,0.0,no,[],poultry,26.4,1.0,0.0,0.0,0.0,no,other_grains,no,"[""cavolfiore"", ""couscous"", ""finocchio"", ""kiwi"", ""olio"", ""tacchino""]"
base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-spinaci:2557ab866f22e233,base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-spinaci,Brunch: Couscous marocchino delicato con tacchino e spinaci,0,0.0,no,[],poultry,26.4,1.0,0.0,0.0,0.0,no,other_grains,no,"[""banana"", ""broccoli"", ""couscous"", ""olio"", ""spinaci"", ""tacchino""]"
base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-carciofi:56dec7c50290a4ca,base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-carciofi,"Brunch: Croque monsieur leggero con cotto, mozzarella e carciofi",0,1.6,yes,"[""mozzarella""]",,12.0,0.3807,0.0,0.0,0.0,no,bread,no,"[""albume"", ""carciofo"", ""mela"", ""mozzarella"", ""pane_bianco"", ""prosciutto_cotto""]"
base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-funghi:3445c6dd8204e71f,base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-funghi,"Brunch: Croque monsieur leggero con cotto, mozzarella e funghi",0,1.6,yes,"[""mozzarella""]",,12.0,0.3807,0.0,0.0,0.0,no,bread,no,"[""albume"", ""funghi"", ""mandarino"", ""mozzarella"", ""pane_integrale"", ""prosciutto_cotto""]"
base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane:fc8810506d8d8fb9,base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane,"Brunch: Croque monsieur leggero con cotto, mozzarella e melanzane",0,1.6,yes,"[""mozzarella""]",,12.0,0.3807,0.0,0.0,0.0,no,bread,no,"[""albume"", ""fico"", ""melanzana"", ""mozzarella"", ""pane_integrale"", ""prosciutto_cotto""]"
base:recipe-version:brunch-curry-bianco-molto-delicato-di-pollo-e-zucca:a62778145c4cb2d2,base:recipe:brunch-curry-bianco-molto-delicato-di-pollo-e-zucca,Brunch: Curry bianco molto delicato di pollo e zucca,0,1.6,no,[],poultry,26.45,0.7521,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""banana"", ""latte_cocco_light"", ""olio"", ""pollo"", ""riso_integrale"", ""zucca""]"
base:recipe-version:brunch-jacket-potato-con-tonno-primosale-e-radicchio:62050051d69c469b,base:recipe:brunch-jacket-potato-con-tonno-primosale-e-radicchio,"Brunch: Jacket potato con tonno, primosale e radicchio",0,0.0,yes,"[""primosale""]",fish,23.4,0.7647,0.0,0.0,0.0,no,potato,no,"[""olio"", ""patata"", ""pera"", ""primosale"", ""radicchio"", ""tonno_naturale""]"
base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-bietole:a868797ef77a836a,base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-bietole,Brunch: Kofte di tacchino delicati con riso e bietole,0,0.0,no,[],poultry,31.2,0.9512,0.0,0.0,0.0,no,rice,yes,"[""bietola"", ""mandarino"", ""olio"", ""pangrattato"", ""riso_basmati"", ""tacchino"", ""yogurt_bianco""]"
base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio:1d80294769500be2,base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio,Brunch: Kofte di tacchino delicati con riso e radicchio,3,0.0,no,[],poultry,31.2,0.9512,0.0,0.0,0.0,no,rice,yes,"[""mela"", ""olio"", ""pangrattato"", ""radicchio"", ""riso_integrale"", ""tacchino"", ""yogurt_bianco""]"
base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-spinaci:6f319aee6505b9e8,base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-spinaci,Brunch: Kofte di tacchino delicati con riso e spinaci,0,0.0,no,[],poultry,31.2,0.9512,0.0,0.0,0.0,no,rice,yes,"[""mela"", ""olio"", ""pangrattato"", ""riso_basmati"", ""spinaci"", ""tacchino"", ""yogurt_bianco""]"
base:recipe-version:brunch-noodles-di-riso-con-pollo-e-finocchi:77a636a09e897fa8,base:recipe:brunch-noodles-di-riso-con-pollo-e-finocchi,Brunch: Noodles di riso con pollo e finocchi,1,1.6,no,[],poultry,25.3,0.7437,0.0,0.0,0.0,no,other_grains,no,"[""albume"", ""cavolfiore"", ""finocchio"", ""mandarino"", ""noodles_riso"", ""olio"", ""pollo"", ""salsa_soia""]"
base:recipe-version:brunch-noodles-di-riso-con-pollo-e-spinaci:57996d4ba22fbbda,base:recipe:brunch-noodles-di-riso-con-pollo-e-spinaci,Brunch: Noodles di riso con pollo e spinaci,0,0.0,no,[],poultry,25.3,1.0,0.0,0.0,0.0,no,other_grains,no,"[""broccoli"", ""noodles_riso"", ""olio"", ""pera"", ""pollo"", ""salsa_soia"", ""spinaci""]"
base:recipe-version:brunch-poke-tiepido-con-salmone-e-lattuga:c16219f1237dbc17,base:recipe:brunch-poke-tiepido-con-salmone-e-lattuga,Brunch: Poke tiepido con salmone e lattuga,0,3.2,no,[],fish,20.0,0.5266,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""cetriolo"", ""fico"", ""lattuga"", ""riso_integrale"", ""salmone"", ""salsa_soia"", ""sesamo""]"
base:recipe-version:brunch-polpette-svedesi-leggere-con-finocchi:26766f7a5b341cea,base:recipe:brunch-polpette-svedesi-leggere-con-finocchi,Brunch: Polpette svedesi leggere con finocchi,0,0.6,no,[],poultry,31.2,0.8529,0.0,0.0,0.0,no,potato,no,"[""finocchio"", ""mandarino"", ""olio"", ""pangrattato"", ""patata"", ""tacchino"", ""uovo"", ""yogurt_bianco""]"
base:recipe-version:brunch-polpette-svedesi-leggere-con-zucca:2996ac5a3ebbda26,base:recipe:brunch-polpette-svedesi-leggere-con-zucca,Brunch: Polpette svedesi leggere con zucca,0,0.6,no,[],poultry,31.2,0.8529,0.0,0.0,0.0,no,potato,no,"[""mela"", ""olio"", ""pangrattato"", ""patata"", ""tacchino"", ""uovo"", ""yogurt_bianco"", ""zucca""]"
base:recipe-version:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi:dd1df9125ddfa6b3,base:recipe:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi,Brunch: Riso teriyaki delicato con tacchino e carciofi,3,0.0,no,[],poultry,27.6,1.0,0.0,0.0,0.0,no,rice,yes,"[""bietola"", ""carciofo"", ""olio"", ""pompelmo"", ""riso_jasmine"", ""salsa_soia"", ""tacchino""]"
base:recipe-version:brunch-salmone-nordico-con-patate-e-bietole:ccfb3e76efd51dbc,base:recipe:brunch-salmone-nordico-con-patate-e-bietole,Brunch: Salmone nordico con patate e bietole,0,1.6,no,[],fish,24.0,0.6993,0.0,0.0,0.0,no,potato,no,"[""albume"", ""bietola"", ""kiwi"", ""olio"", ""patata"", ""salmone"", ""yogurt_bianco""]"
base:recipe-version:brunch-salmone-nordico-con-patate-e-cavolfiore:231333569dcf995f,base:recipe:brunch-salmone-nordico-con-patate-e-cavolfiore,Brunch: Salmone nordico con patate e cavolfiore,1,1.6,no,[],fish,24.0,0.6993,0.0,0.0,0.0,no,potato,no,"[""albume"", ""arancia"", ""cavolfiore"", ""olio"", ""patata"", ""salmone"", ""yogurt_bianco""]"
base:recipe-version:brunch-salmone-nordico-con-patate-e-zucca:6c518a0b9734ea57,base:recipe:brunch-salmone-nordico-con-patate-e-zucca,Brunch: Salmone nordico con patate e zucca,0,1.6,no,[],fish,24.0,0.6993,0.0,0.0,0.0,no,potato,no,"[""albume"", ""olio"", ""patata"", ""salmone"", ""uva"", ""yogurt_bianco"", ""zucca""]"
base:recipe-version:brunch-tortilla-spagnola-leggera-con-zucchine:077a564b9ed6cef4,base:recipe:brunch-tortilla-spagnola-leggera-con-zucchine,Brunch: Tortilla spagnola leggera con zucchine,0,5.6,no,[],eggs,32.22,1.0,0.0,0.0,0.0,no,potato,no,"[""albume"", ""olio"", ""pane_bianco"", ""patata"", ""pera"", ""uovo"", ""zucchina""]"
base:recipe-version:brunch-tortilla-spagnola-leggera-con-zucchine:2c89ad4f9dcd0ba3,base:recipe:brunch-tortilla-spagnola-leggera-con-zucchine,Brunch: Tortilla spagnola leggera con zucchine,0,5.6,no,[],eggs,32.22,1.0,0.0,0.0,0.0,no,potato,no,"[""albume"", ""mela"", ""olio"", ""pane_bianco"", ""patata"", ""uovo"", ""zucchina""]"
base:recipe-version:brunch-wrap-morbido-con-pollo-primosale-e-cavolfiore:2669de684378973b,base:recipe:brunch-wrap-morbido-con-pollo-primosale-e-cavolfiore,"Brunch: Wrap morbido con pollo, primosale e cavolfiore",0,0.0,yes,"[""primosale""]",poultry,23.0,0.785,0.0,0.0,0.0,no,bread,no,"[""banana"", ""cavolfiore"", ""mais"", ""pollo"", ""primosale"", ""tortilla""]"
base:recipe-version:brunch-wrap-morbido-con-pollo-primosale-e-radicchio:fcdf5e401be48e59,base:recipe:brunch-wrap-morbido-con-pollo-primosale-e-radicchio,"Brunch: Wrap morbido con pollo, primosale e radicchio",0,0.0,yes,"[""primosale""]",poultry,23.0,0.785,0.0,0.0,0.0,no,bread,no,"[""banana"", ""mais"", ""pollo"", ""primosale"", ""radicchio"", ""tortilla""]"
base:recipe-version:brunch-wrap-morbido-con-pollo-primosale-e-spinaci:0dd86cb415937e03,base:recipe:brunch-wrap-morbido-con-pollo-primosale-e-spinaci,"Brunch: Wrap morbido con pollo, primosale e spinaci",0,0.0,yes,"[""primosale""]",poultry,23.0,0.785,0.0,0.0,0.0,no,bread,no,"[""banana"", ""mais"", ""pollo"", ""primosale"", ""spinaci"", ""tortilla""]"
base:recipe-version:budino-di-riso-casalingo-e-frutta:6cc1d24620d4f701,base:recipe:budino-di-riso-casalingo-e-frutta,Budino di riso casalingo e frutta,4,0.0,no,[],milk_yogurt,7.26,1.0,0.0,0.0,0.0,no,rice,yes,"[""latte_ps"", ""mela"", ""miele"", ""riso_basmati""]"
base:recipe-version:budino-di-riso-casalingo-e-frutta:98e1bee3bc26258f,base:recipe:budino-di-riso-casalingo-e-frutta,Budino di riso casalingo e frutta,2,0.0,no,[],milk_yogurt,7.26,1.0,0.0,0.0,0.0,no,rice,yes,"[""latte_ps"", ""miele"", ""pera"", ""riso_basmati""]"
base:recipe-version:burger-di-tacchino-con-pane-e-zucca-al-forno:0211b9e298cc00bb,base:recipe:burger-di-tacchino-con-pane-e-zucca-al-forno,Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:burger-di-tacchino-con-pane-e-zucca-al-forno:0afda45d2c91d033,base:recipe:burger-di-tacchino-con-pane-e-zucca-al-forno,Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:burger-di-tacchino-con-pane-e-zucca-al-forno:0c63b84aa327cae0,base:recipe:burger-di-tacchino-con-pane-e-zucca-al-forno,Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:burger-di-tacchino-con-pane-e-zucca-al-forno:5cf340c6252a6150,base:recipe:burger-di-tacchino-con-pane-e-zucca-al-forno,Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:burger-di-tacchino-con-pane-e-zucca-al-forno:f186780fe60e1d82,base:recipe:burger-di-tacchino-con-pane-e-zucca-al-forno,Burger di tacchino con pane e zucca al forno,0,0.0,yes,"[""ricotta""]",poultry,31.2,0.9102,0.0,0.0,0.0,no,bread,no,"[""olio"", ""pane_bianco"", ""ricotta"", ""tacchino"", ""zucca""]"
base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:877ea8791ddbb83e,base:recipe:colazione-leggera-con-latte-e-fette-classiche,Colazione leggera con latte e fette classiche,0,0.0,no,[],milk_yogurt,6.6,1.0,0.0,0.0,0.0,no,crackers_rusks_cakes,no,"[""fette_integrali"", ""latte_ps"", ""marmellata"", ""pera""]"
base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:8fd04a5b7ddd497f,base:recipe:colazione-leggera-con-latte-e-fette-classiche,Colazione leggera con latte e fette classiche,1,0.0,no,[],milk_yogurt,6.6,1.0,0.0,0.0,0.0,no,crackers_rusks_cakes,no,"[""fette_bianche"", ""latte_ps"", ""marmellata"", ""prugna""]"
base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:c499e5cad0f67ae9,base:recipe:colazione-leggera-con-latte-e-fette-classiche,Colazione leggera con latte e fette classiche,0,0.0,no,[],milk_yogurt,6.6,1.0,0.0,0.0,0.0,no,crackers_rusks_cakes,no,"[""fette_bianche"", ""kiwi"", ""latte_ps"", ""marmellata""]"
base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:f0b9a32bfc5404fc,base:recipe:colazione-leggera-con-latte-e-fette-classiche,Colazione leggera con latte e fette classiche,1,0.0,no,[],milk_yogurt,6.6,1.0,0.0,0.0,0.0,no,crackers_rusks_cakes,no,"[""arancia"", ""fette_bianche"", ""latte_ps"", ""marmellata""]"
